,growth_factor_fmp,inflation_factor_fmp,real_rates_factor_fmp,credit_factor_fmp,currency_factor_fmp,liquidity_factor_fmp,tail_risk_factor_fmp,growth,inflation,real_rates,credit,currency,liquidity,tail_risk
1980-04-30,1.150816677,3.243004273,-5.717827481,5.383489416,-4.222072774,-3.278052043,-5.052291234,-2.153292404,1.138100047,-5.914122564,6.920171225,-4.948097237,1.897801545,1.749620285
1980-05-31,1.861599033,1.50574824,-1.783819003,1.805260267,-3.306007039,-0.303817325,-3.414139197,-2.696076903,1.127782604,-1.599443122,0.887972717,-2.004155699,1.433312864,0.034485738
1980-06-30,-0.542257866,0.608444222,-0.941965001,2.004173714,-6.937598194,4.04368588,0.891684202,0.370986227,1.117741471,-1.209157391,-0.588176019,-0.737689116,0.609341037,0.854696498
1980-07-31,0.312197444,0.158615545,1.372507315,-1.857977699,0.303833361,-7.007072724,-1.998997935,1.660556538,-1.497058945,1.71139895,-2.512819165,0.437558986,0.181264929,-0.505286658
1980-08-31,-4.331554476,0.119575861,2.944831806,-0.2039959,-2.640788418,-2.794699811,-0.519293641,3.461496471,0.249242925,2.236427195,-2.656912512,-0.50696593,0.251053639,-0.468905003
1980-09-30,1.772572043,-1.995996187,0.830187598,-0.298064721,-2.331323097,-0.418318218,2.389299245,1.506309478,0.538854063,0.865792351,0.396152589,-0.00016497,-0.06750449,-0.577195135
1980-10-31,0.369632404,0.382769368,1.312950734,-1.320322274,1.160679366,-2.101814353,-2.340022934,1.739742247,1.115368887,1.778168726,1.378844542,0.7749071,0.088672104,-0.088425991
1980-11-30,-2.580633785,-0.307539109,0.776961175,-0.967629563,-0.75715867,-11.50993284,-0.508206308,0.859754415,1.392378484,0.76881451,-3.285471953,1.361677886,1.148351728,-0.035626846
1980-12-31,-1.914429477,3.275938088,-0.658913962,3.58249376,1.767749753,-1.385981406,-4.598874557,-1.675899156,0.803891875,-1.13876578,2.231813093,0.76002816,-0.349372326,0.242703025
1981-01-31,0.463228335,1.489506767,0.418251189,0.122369783,5.651201094,0.350625595,-3.327195688,-1.213886887,0.798970459,0.629700301,-0.190710762,3.10382449,1.865729637,0.306734679
1981-02-28,-2.920060662,0.645318689,2.044064258,-0.980537725,1.094367008,-4.485336396,-1.233988613,-0.121268436,0.794138546,2.185582258,-1.753720031,2.113333966,0.552785906,-1.014655814
1981-03-31,1.288341172,-1.199156862,-0.829464974,-0.703357217,-1.274174328,-2.739511494,2.774561105,0.264587669,0.207503768,-0.935522769,0.621614993,-0.575196149,0.851435221,-0.238013343
1981-04-30,-2.284245255,0.864660614,2.489749517,-0.544296031,2.182018069,0.633566593,-2.524240336,0.649430189,-0.086143739,2.872825083,-1.709365183,2.748710385,0.565723131,-0.499198358
1981-05-31,0.678084353,1.328082011,-1.418603222,1.418511398,2.253594815,0.241065484,-1.160653235,0.613908324,0.208112714,-1.809163718,0.834754215,3.052019578,1.243982464,-0.081400004
1981-06-30,-2.947455751,-1.250101129,2.195484937,-0.689755985,2.993410307,1.142381445,-1.418716916,-0.907457568,0.795561574,3.401217294,1.853139008,2.162034636,0.633343189,0.623867092
1981-07-31,1.851331484,-2.583887685,1.79140142,-4.827655493,3.889458546,-3.931916614,5.310614242,-1.2852202,1.374071343,3.407820403,-2.684878473,3.825957738,0.059262728,0.368477667
1981-08-31,-4.399173636,-0.909558683,2.465824111,0.2422549,-1.336188874,-0.059897131,3.564906101,0.528980166,0.485442035,2.585454087,-2.839397549,-0.975485438,-0.532043127,-0.699402208
1981-09-30,-2.890954028,0.909641961,1.499696786,1.854379736,-0.25185066,-0.367260996,1.44167036,-1.848045849,1.069883406,1.428211119,2.11225016,-0.107938973,0.83411112,0.699976089
1981-10-31,0.492573789,1.174403668,-2.766784967,2.331730608,-1.068444214,-5.139925058,-2.120948694,-0.779768136,-0.996133611,-3.179532745,2.202186561,-0.987306784,-0.174034984,-0.552969148
1981-11-30,-1.260627762,2.592519976,-4.149189308,4.683478767,-2.443867138,-2.978485558,-6.886034929,-1.220926406,-0.696376015,-3.896943541,6.629527965,-2.78440675,0.501554867,-0.228620544
1981-12-31,-0.121065551,-1.053847565,3.004707963,-1.665368539,1.706085144,2.287679178,1.170537415,0.580939571,-0.986278935,3.962167045,-2.730567956,0.972702343,-0.129576647,-1.195113699
1982-01-31,-1.012047071,-1.030617083,0.723023263,-1.206491721,2.094806099,-3.295774573,2.619958266,0.160481231,-0.979638179,4.53827972,-0.596124791,2.8929371,0.405723191,-0.547315677
1982-02-28,-1.320584436,-0.266044312,-0.050816993,0.793086937,4.584248929,1.38399351,1.076754684,0.063037379,-0.973130079,-0.030669175,2.045077938,2.179855679,-0.663392671,1.04086384
1982-03-31,-1.549701257,-3.904864132,0.763689631,-0.108637952,3.33447322,-1.90422487,2.756788034,-0.455425965,-1.835663967,1.362017384,-0.089666562,2.421446698,1.167640914,-0.220780876
1982-04-30,0.491346053,3.020971184,-1.36128662,-0.422413242,-2.799919659,-2.686477563,-0.412313915,0.358448176,-0.946557762,-0.968530284,-0.826312196,-0.290703649,0.373852776,0.64391399
1982-05-31,-4.779425983,2.871971606,0.027050282,1.614562417,2.557918795,-3.072925552,-4.377756403,-0.717209394,0.815528257,-0.385830752,0.493444852,1.231527167,-0.313115607,-1.255672258
1982-06-30,-3.162487308,-0.710260813,2.489786704,-0.694561134,2.564488276,-0.542991562,1.797003518,0.947518112,1.391311321,1.929734569,-2.31001879,4.334530101,-0.004566103,-0.227743792
1982-07-31,1.672216368,-1.56369594,-1.588620352,-0.038164081,-0.371997875,1.495014384,5.309562258,0.062494401,-0.370279172,-2.626791478,1.748458434,0.23897103,0.85850427,-0.373974802
1982-08-31,-2.130049465,-3.888210842,-1.869140658,-0.556094404,-5.75055179,-3.184777832,7.276233019,-0.003255567,-1.243797189,-1.599076687,1.416097971,1.509937207,-0.598491824,1.225570056
1982-09-30,-3.363047366,0.298942702,-2.600941779,0.36817294,2.325056234,-4.018375718,0.039601644,0.194025665,-1.806427261,-2.669558068,-0.174471463,1.793066677,1.753041101,0.939801524
1982-10-31,2.622276531,-2.483106994,-2.878014305,-1.228918376,-2.987617663,-1.852949692,3.498755606,0.22634842,-0.635896613,-1.504114899,4.584417776,3.38310851,1.517028534,1.960748269
1982-11-30,-1.607721853,-1.956427769,0.336914358,-0.363878599,-3.273912555,-3.666237849,1.803114877,-0.03910759,-2.062489271,1.62452961,-0.720280575,-2.282460783,-0.163995975,-0.284387905
1982-12-31,1.011556046,-2.332309373,-0.388729052,0.004379005,-2.378040353,1.621685475,2.288933572,1.216714772,-2.575838661,-1.373635368,0.254922649,-2.112153664,1.448801823,-0.791388546
1983-01-31,2.928507052,-3.369648928,0.595357952,-4.332544738,0.329609109,2.734032586,6.28511329,1.076224969,-1.147359412,1.34071607,-0.86510182,1.797284717,1.838563195,0.137591557
1983-02-28,1.287718227,1.102557863,-1.69534076,2.177700873,3.580419842,-3.865322104,-6.915500164,2.728118175,-1.417421562,-1.595737324,-0.881452816,0.724428095,-0.374808448,0.439530198
1983-03-31,-0.363785727,-0.516098825,0.796752372,-1.129998563,-0.986766401,-3.093413926,-0.072881877,-0.167084949,-1.404169259,1.37249415,-1.002786798,2.623023474,0.734581943,-0.701573885
1983-04-30,0.25054638,0.271557447,-1.196762386,-0.733232383,-2.142313278,-2.685150752,-1.201594335,0.093715946,0.286214992,-1.137652803,-1.184803921,-0.908391779,-0.111806075,-1.656143685
1983-05-31,-0.484445088,-0.580172799,1.402014362,-0.770521494,-0.330547038,-0.312316314,1.607612975,0.614901868,-0.559619873,1.686477247,-1.174453923,-0.360474843,-0.697042375,-1.639325355
1983-06-30,-1.818446798,2.511752236,0.42362793,1.076333619,0.136611754,-6.123922158,-5.190281833,0.449218634,-1.118426284,-0.105788371,-1.460237081,1.466963192,0.390066011,-1.112134253
1983-07-31,0.701506925,0.309691416,1.851835865,-1.778615448,1.249351085,2.430526214,0.535067626,1.964715964,-0.550076026,1.478938962,-2.401916697,1.094254811,-0.4934668,-0.016577747
1983-08-31,-3.654759677,-0.536374244,0.614264997,-0.008686205,0.311372491,-5.541380975,0.575133011,-0.185550615,-0.829491866,0.126824734,-1.317557513,1.65180334,-0.464554817,-1.558474393
1983-09-30,-5.096849839,-1.053965998,-0.820144408,2.048057909,-1.542048613,-6.038475475,0.482220271,-0.217546353,-0.8252858,-1.491878215,0.892169103,-1.488584227,0.281481316,-1.113303096
1983-10-31,-1.09998193,2.2823298,0.648479076,1.714391997,1.478462821,1.60009322,-4.950206545,0.59951468,-0.538971109,0.971886554,-0.335494088,1.505823738,-0.509446258,-0.722792351
1983-11-30,3.459420233,-0.310480162,-0.369208763,-0.123595951,-0.930466275,3.246872796,-0.011324496,0.49911027,-0.819702433,-0.508956247,0.104493928,1.285562023,0.063689516,-0.2582507
1983-12-31,-0.022031601,1.754544228,0.28553711,0.473743155,0.958168997,-0.74874036,-3.958480874,1.246653043,-0.815658624,0.361740561,-0.036825052,1.200359254,-0.217585916,-1.505741582
1984-01-31,1.052715091,3.143414328,-0.689572092,2.004950043,1.020077316,5.179937511,-6.727741877,-3.028234374,0.324869285,-0.323239283,-0.864412833,2.04968333,-1.912877164,-0.307311224
1984-02-29,-1.543436791,-0.178798365,1.188385597,0.657072438,-3.193410281,0.757519329,2.676011227,0.239489425,-0.246674583,0.896144588,-2.454950755,-4.129097374,-1.683905401,0.049396539
1984-03-31,2.594043069,-0.639101357,0.716300019,-2.273152693,0.133986503,-2.636253959,0.815110858,-0.785052534,-0.816589493,0.778918512,-0.274245187,0.524230327,-1.77974953,0.21858977
1984-04-30,-2.768363349,2.003951021,0.873579062,1.986318074,0.945327116,-1.871463842,-4.54965823,0.659817985,-0.527411017,0.310090405,-0.40584099,2.774057299,-2.296766422,-0.853270387
1984-05-31,-0.815390989,0.723501003,2.19594993,-0.219377862,1.611874945,2.01675449,2.224516669,-0.786507657,-1.096067182,2.173880038,-3.091548276,1.687992545,-1.69710413,-0.74663944
1984-06-30,-2.731704657,-1.631591296,-0.086719442,-0.033350454,1.111791107,-4.852027215,1.901888597,-0.173086788,-1.089195356,-0.877850307,1.533007753,2.671937196,-1.985107696,0.424207146
